movie_id,budget,revenue,runtime,popularity,vote_average,vote_count,profit,ROI
5,4000000.0,4300000.0,98.0,22.87623,6.5,530,300000.0,0.075
11,11000000.0,775398007.0,121.0,126.393695,8.1,6624,764398007.0,69.49072790909091
12,94000000.0,940335536.0,100.0,85.688789,7.6,6122,846335536.0,9.003569531914893
13,55000000.0,677945399.0,142.0,138.133331,8.2,7927,622945399.0,11.326279981818182
14,15000000.0,356296601.0,122.0,80.878605,7.9,3313,341296601.0,22.753106733333333
16,12800000.0,40031879.0,140.0,22.022228,7.6,377,27231879.0,2.127490546875
18,90000000.0,263920180.0,126.0,109.528572,7.3,3885,173920180.0,1.9324464444444445
19,92620000.0,650422.0,153.0,32.351527,8.0,657,-91969578.0,-0.9929775210537681
20,,9726954.0,106.0,7.958831,7.2,77,,
22,140000000.0,655011224.0,143.0,271.972889,7.5,6985,515011224.0,3.6786516
24,30000000.0,180949000.0,111.0,79.754966,7.7,4949,150949000.0,5.031633333333334
25,72000000.0,96889998.0,125.0,32.227223,6.6,765,24889998.0,0.34569441666666667
28,31500000.0,89460381.0,153.0,49.973462,8.0,2055,57960381.0,1.8400120952380952
33,14000000.0,159157447.0,131.0,37.380435,7.7,1113,145157447.0,10.368389071428572
35,75000000.0,527068851.0,87.0,46.875375,6.9,2264,452068851.0,6.02758468
38,20000000.0,72258126.0,108.0,56.481487,7.9,3652,52258126.0,2.6129063
55,2000000.0,20908467.0,154.0,23.281616,7.6,521,18908467.0,9.4542335
58,200000000.0,1065659812.0,151.0,145.847379,7.0,5246,865659812.0,4.32829906
59,32000000.0,60740827.0,96.0,34.628738,6.9,832,28740827.0,0.89815084375
62,10500000.0,68700000.0,149.0,86.201184,7.9,2998,58200000.0,5.542857142857143
65,41000000.0,215000000.0,110.0,32.798571,6.8,1626,174000000.0,4.2439024390243905
66,50000000.0,50068310.0,121.0,13.576765,6.4,223,68310.0,0.0013662
68,15000000.0,,132.0,41.089863,7.5,861,,
69,28000000.0,186438883.0,136.0,35.580032,7.3,718,158438883.0,5.658531535714285
70,30000000.0,216763646.0,132.0,70.456012,7.7,2439,186763646.0,6.2254548666666665
71,5000000.0,110000000.0,110.0,20.428237,7.4,750,105000000.0,21.0
73,20000000.0,23875127.0,119.0,73.567232,8.2,3016,3875127.0,0.19375635
74,132000000.0,591739379.0,116.0,48.572726,6.2,2322,459739379.0,3.4828740833333334
75,70000000.0,101371017.0,106.0,44.090535,6.1,1509,31371017.0,0.4481573857142857
76,2500000.0,5535405.0,105.0,23.672571,7.7,959,3035405.0,1.214162
77,9000000.0,39723096.0,113.0,60.715151,8.1,4028,30723096.0,3.4136773333333332
78,28000000.0,33139618.0,117.0,94.056131,7.9,3509,5139618.0,0.18355778571428571
79,31000000.0,177394432.0,99.0,23.607392,7.2,635,146394432.0,4.722401032258064
80,2700000.0,15992615.0,80.0,14.799323,7.6,718,13292615.0,4.923190740740741
83,130000.0,54667954.0,79.0,15.611857,5.4,315,54537954.0,419.52272307692306
85,18000000.0,389925971.0,115.0,68.159596,7.7,3854,371925971.0,20.662553944444443
87,28000000.0,333000000.0,118.0,66.976776,7.1,2781,305000000.0,10.892857142857142
89,48000000.0,474171806.0,127.0,80.972475,7.6,3152,426171806.0,8.878579291666666
90,15000000.0,316360478.0,105.0,29.843818,6.8,961,301360478.0,20.090698533333335
95,140000000.0,553799566.0,151.0,58.485967,6.4,2482,413799566.0,2.9557111857142857
96,20000000.0,299965036.0,100.0,25.28436,6.1,613,279965036.0,13.9982518
98,103000000.0,457640427.0,155.0,95.301296,7.9,5439,354640427.0,3.4431109417475727
100,1350000.0,3897569.0,105.0,16.032594,7.5,1648,2547569.0,1.887088148148148
103,1300000.0,28262574.0,114.0,58.845025,8.0,2535,26962574.0,20.74044153846154
104,1530000.0,7267585.0,81.0,27.36562,7.2,664,5737585.0,3.7500555555555555
105,19000000.0,381109762.0,116.0,76.603233,8.0,6079,362109762.0,19.05840852631579
106,18000000.0,98235548.0,107.0,50.009408,7.3,2093,80235548.0,4.457530444444444
107,10000000.0,83557872.0,103.0,53.595686,7.7,2912,73557872.0,7.3557872
111,25000000.0,65884703.0,170.0,70.105981,8.0,2948,40884703.0,1.63538812
114,14000000.0,463000000.0,119.0,45.473484,7.0,1746,449000000.0,32.07142857142857
115,15000000.0,46189568.0,117.0,49.230089,7.8,2926,31189568.0,2.0793045333333335
116,15000000.0,85306374.0,124.0,30.669913,7.3,1105,70306374.0,4.6870916
117,25000000.0,76270454.0,119.0,38.272889,7.6,1384,51270454.0,2.05081816
118,150000000.0,474968763.0,115.0,53.905592,6.7,3624,324968763.0,2.16645842
120,93000000.0,871368364.0,178.0,138.049577,8.0,8705,778368364.0,8.369552301075268
121,79000000.0,926287400.0,179.0,106.914973,8.0,7487,847287400.0,10.725156962025316
122,94000000.0,1118888979.0,201.0,123.630332,8.1,8064,1024888979.0,10.903074244680852
128,26500000.0,159375308.0,134.0,60.732738,8.2,1983,132875308.0,5.014162566037736
129,15000000.0,274925095.0,125.0,118.968562,8.3,3840,259925095.0,17.32833966666667
134,26000000.0,71868327.0,106.0,39.742009,7.3,1112,45868327.0,1.7641664230769232
137,14600000.0,70906973.0,101.0,52.744331,7.4,2301,56306973.0,3.8566419863013697
141,6000000.0,1270522.0,113.0,61.210016,7.7,3452,-4729478.0,-0.7882463333333334
142,14000000.0,178043761.0,134.0,44.135568,7.5,1480,164043761.0,11.7174115
146,17000000.0,213525736.0,120.0,45.742254,7.2,927,196525736.0,11.560337411764706
149,8000000.0,553171.0,124.0,39.338097,7.8,773,-7446829.0,-0.930853625
152,35000000.0,139000000.0,132.0,24.616634,6.2,530,104000000.0,2.9714285714285715
153,4000000.0,119723856.0,102.0,45.66662,7.3,1895,115723856.0,28.930964
154,12000000.0,96800000.0,113.0,22.434102,7.3,675,84800000.0,7.066666666666666
155,185000000.0,1004558444.0,152.0,187.322927,8.2,12002,819558444.0,4.430045643243243
157,18000000.0,87000000.0,105.0,15.314027,6.4,434,69000000.0,3.8333333333333335
161,85000000.0,450717150.0,116.0,60.929352,7.2,3783,365717150.0,4.302554705882353
162,20000000.0,53000000.0,105.0,47.51363,7.5,3601,33000000.0,1.65
163,110000000.0,362744280.0,125.0,76.840712,6.4,2124,252744280.0,2.2976752727272727
165,40000000.0,332000000.0,108.0,43.345252,7.4,3829,292000000.0,7.3
167,48000000.0,50315140.0,120.0,30.920075,7.1,695,2315140.0,0.048232083333333335
168,24000000.0,133000000.0,119.0,22.258428,6.9,477,109000000.0,4.541666666666667
169,35000000.0,57120318.0,108.0,27.934978,5.9,730,22120318.0,0.6320090857142857
170,5000000.0,82719885.0,113.0,45.490374,7.1,1777,77719885.0,15.543977
172,30000000.0,70200000.0,107.0,19.578249,5.6,376,40200000.0,1.34
173,5000000.0,28200000.0,127.0,9.358197,6.8,157,23200000.0,4.64
174,27000000.0,96900000.0,113.0,16.188572,6.7,413,69900000.0,2.588888888888889
176,1200000.0,103911669.0,103.0,63.655973,7.2,2184,102711669.0,85.5930575
177,24000000.0,41895491.0,137.0,16.146572,7.2,341,17895491.0,0.7456454583333333
